Tahun,Menara,Provinsi,Source
Tahun 2016,726,NUSA TENGGARA BARAT,Interpolated
Tahun 2016,680,NUSA TENGGARA TIMUR,Interpolated
Tahun 2016,665,KALIMANTAN BARAT,Interpolated
Tahun 2016,424,KALIMANTAN TENGAH,Interpolated
Tahun 2016,647,KALIMANTAN SELATAN,Interpolated
Tahun 2016,470,KALIMANTAN TIMUR,Interpolated
Tahun 2016,160,KALIMANTAN UTARA,Interpolated
Tahun 2016,528,SULAWESI UTARA,Interpolated
Tahun 2016,508,SULAWESI TENGAH,Interpolated
Tahun 2016,1254,SULAWESI SELATAN,Interpolated
Tahun 2016,450,SULAWESI TENGGARA,Interpolated
Tahun 2016,221,GORONTALO,Interpolated
Tahun 2016,167,SULAWESI BARAT,Interpolated
Tahun 2016,310,MALUKU,Interpolated
Tahun 2016,244,MALUKU UTARA,Interpolated
Tahun 2016,169,PAPUA BARAT,Interpolated
Tahun 2016,266,PAPUA,Interpolated
Tahun 2017,30788,INDONESIA,Interpolated
Tahun 2017,1263,ACEH,Interpolated
Tahun 2017,2127,SUMATERA UTARA,Interpolated
Tahun 2017,705,SUMATERA BARAT,Interpolated
Tahun 2017,1068,RIAU,Interpolated
Tahun 2017,595,JAMBI,Interpolated
Tahun 2017,1188,SUMATERA SELATAN,Interpolated
Tahun 2017,372,BENGKULU,Interpolated
Tahun 2017,1122,LAMPUNG,Interpolated
Tahun 2017,308,KEP. BANGKA BELITUNG,Interpolated
Tahun 2017,251,KEP. RIAU,Interpolated
Tahun 2017,224,DKI JAKARTA,Interpolated
Tahun 2017,3901,JAWA BARAT,Interpolated
Tahun 2017,3597,JAWA TENGAH,Interpolated
Tahun 2017,313,DI YOGYAKARTA,Interpolated
Tahun 2017,3930,JAWA TIMUR,Interpolated
Tahun 2017,966,BANTEN,Interpolated
Tahun 2017,467,BALI,Interpolated
Tahun 2017,759,NUSA TENGGARA BARAT,Interpolated
Tahun 2017,761,NUSA TENGGARA TIMUR,Interpolated
Tahun 2017,688,KALIMANTAN BARAT,Interpolated
Tahun 2017,451,KALIMANTAN TENGAH,Interpolated
Tahun 2017,693,KALIMANTAN SELATAN,Interpolated
Tahun 2017,490,KALIMANTAN TIMUR,Interpolated
Tahun 2017,171,KALIMANTAN UTARA,Interpolated
Tahun 2017,554,SULAWESI UTARA,Interpolated
Tahun 2017,525,SULAWESI TENGAH,Interpolated
Tahun 2017,1312,SULAWESI SELATAN,Interpolated
Tahun 2017,464,SULAWESI TENGGARA,Interpolated
Tahun 2017,231,GORONTALO,Interpolated
Tahun 2017,173,SULAWESI BARAT,Interpolated
Tahun 2017,349,MALUKU,Interpolated
Tahun 2017,265,MALUKU UTARA,Interpolated
Tahun 2017,200,PAPUA BARAT,Interpolated
Tahun 2017,311,PAPUA,Interpolated
